run,dataset,bus,model,variant,system_label,model_name,accuracy,balanced_accuracy,precision,recall,f1,mcc,fpr,fnr,auroc,auprc,latency_ms_per_sample,n,threshold
qgrid30_cnn1d_full,qgrid,30,cnn1d,full,QGrid-Synth 30-bus,1D-CNN,0.9774850299401198,0.9774850299401198,0.9887826406767194,0.9659281437125748,0.9772217846974011,0.9552252568334644,0.01095808383233533,0.03407185628742515,0.9964192495249022,0.9970836719337777,0.0056467752089489716,33400,
qgrid30_cnn1d_zplusa,qgrid,30,cnn1d,z_plus_abs_a,QGrid-Synth 30-bus,1D-CNN+|a|,0.999940119760479,0.999940119760479,1.0,0.9998802395209581,0.9999401161746212,0.9998802466913854,0.0,0.00011976047904191617,1.0,1.0,0.005753423773243042,33400,
qgrid30_mlp_full,qgrid,30,mlp,full,QGrid-Synth 30-bus,MLP,0.9699700598802395,0.9699700598802394,0.9718631635904527,0.9679640718562874,0.969909699096991,0.9399476844672354,0.028023952095808383,0.032035928143712575,0.9952049517731006,0.9959786912849635,0.004647884435650564,33400,
qgrid30_mlp_zplusa,qgrid,30,mlp,z_plus_abs_a,QGrid-Synth 30-bus,MLP+|a|,0.9998203592814371,0.9998203592814372,1.0,0.9996407185628743,0.9998203270048511,0.9996407830812675,0.0,0.0003592814371257485,0.9999999999999999,1.0,0.004935011917357138,33400,
qgrid30_gcn_full,qgrid,30,gcn,full,QGrid-Synth 30-bus,GCN,0.8852395209580838,0.8852395209580839,0.9932530859464848,0.775748502994012,0.8711293413576303,0.7896445922050411,0.005269461077844311,0.22425149700598804,0.9660467442360788,0.9738631945793723,0.005385535720367721,33400,
qgrid30_wgcn_full,qgrid,30,wgcn,full,QGrid-Synth 30-bus,W-GCN,0.9511676646706587,0.9511676646706586,0.9864419910904513,0.9149101796407185,0.9493305166361179,0.9047171564249162,0.012574850299401197,0.08508982035928143,0.9865397074115243,0.9897355522557012,0.005469575209241963,33400,
qgrid30_gat_full,qgrid,30,gat,full,QGrid-Synth 30-bus,GAT,0.9012275449101796,0.9012275449101796,1.0,0.8024550898203593,0.890402312215541,0.8185862838914472,0.0,0.1975449101796407,0.9864225303883252,0.9897818793329646,0.006266067454223326,33400,
qgrid30_qgnn_pilot,qgrid,30,qgnn,pilot,QGrid-Synth 30-bus,QGNN-pilot,0.7625,0.7646595483983896,0.875,0.6206896551724138,0.7262247838616714,0.5513120260920993,0.09137055837563451,0.3793103448275862,0.8030556875296941,0.8604064992480185,7.484266479732469,400,
qgrid30_qgnn_calibrated,qgrid,30,qgnn,calibrated,QGrid-Synth 30-bus,QGNN-cal,0.755,0.7551699132304768,0.766497461928934,0.7438423645320197,0.755,0.5103398264609537,0.233502538071066,0.2561576354679803,0.8030556875296941,0.8604064992480185,7.461983549874276,400,0.37454932928085327
ruan30_cnn1d_full,ruan,30,cnn1d,full,Ruan CAISO 30-bus,1D-CNN,0.9963,0.9963007398520296,1.0,0.9926014797040592,0.9962870045158053,0.9926271890822255,0.0,0.007398520295940812,0.9978619799144792,0.9986489324282106,0.008478863607160747,10000,
